cluster,gene,score,pvals_adj,logfoldchanges
19,Ak7,20.537357,5.982952239086152e-91,7.963092
19,Adgrv1,20.506409,1.1051358618304882e-90,6.842092
19,mt-Co1,20.47976,1.868071520559739e-90,6.667996
19,Maml2,20.317095,5.0853631956801685e-89,5.5619836
19,Spata17,20.130943,2.1674899977520836e-87,8.127183
19,Iqgap2,20.111486,3.1424289901391955e-87,7.8716846
19,Gm4876,19.833937,7.976087690147478e-85,6.433628
19,Lrriq1,19.789116,1.9038672506860909e-84,6.806492
19,Ddo,19.731695,5.821989949110049e-84,7.771532
19,Zbbx,19.616772,5.5093766447059495e-83,9.467851
20,mt-Nd1,16.128485,4.146077541351088e-54,6.6563745
20,Pabpc4,15.975635,2.224271275677737e-53,6.5878615
20,Gm44511,15.955954,2.224271275677737e-53,6.3466363
20,mt-Nd2,15.380701,1.4206047803559948e-49,6.366578
20,mt-Nd4,15.305168,3.6389969397736396e-49,6.2352443
20,mt-Cytb,15.070927,1.0802334989066287e-47,6.037166
20,Eif2s3y,15.006336,2.456260438676317e-47,6.225561
20,Cnot3,14.980688,3.162486272737977e-47,6.0578423
20,Zfp973,14.840006,2.3116654606381533e-46,6.0237303
20,Col8a1,14.7891,4.437806247525112e-46,6.248923
20,Uty,14.76665,5.630046431404929e-46,6.3172183
20,Gm45341,14.63261,3.7355273420719354e-45,6.157728
20,Agrp,14.537022,1.3992034126804478e-44,5.912425
20,mt-Co2,14.476249,3.150476698613135e-44,5.853371
20,mt-Co1,14.430913,5.679913539966099e-44,5.8733306
20,Taf1d,14.425166,5.787494582333448e-44,5.8129387
20,4930555F03Rik,14.403505,7.454288146934042e-44,6.3511486
20,Kcnmb2,14.344177,1.6584855460437928e-43,5.880471
20,Gm2516,14.322529,2.1460759204968985e-43,6.0155444
20,Hsp90ab1,14.305727,2.596086223711799e-43,5.7571545
20,Gm45321,14.27102,4.069540810315565e-43,6.0164113
20,Fndc9,14.114966,3.5972764331887424e-42,5.7849445
20,Fbxl7,14.042218,9.631536616452501e-42,5.9082427
20,Gm26518,14.013203,1.3895311080529695e-41,5.634757
20,Gm12394,13.983801,2.0173795649017145e-41,5.672746
20,Sema3c,13.916017,5.017725808364388e-41,5.8997717
20,9630028H03Rik,13.896268,6.367864196839133e-41,5.677448
20,Usp50,13.879041,7.682109010636498e-41,5.608085
20,C130073E24Rik,13.877707,7.682109010636498e-41,6.3222795
20,Gpr149,13.868438,8.450608873557863e-41,5.8763347
20,Stambpl1,13.827999,1.4358599852779764e-40,5.6021223
20,mt-Co3,13.817826,1.6021684578843066e-40,5.990229
20,Gm2163,13.795335,2.1227870188881805e-40,5.527838
20,Gps2,13.733746,4.830991016602476e-40,5.5224404
20,mt-Atp6,13.725729,5.241987264591319e-40,5.55509
20,Gm26905,13.697269,7.544477718336419e-40,5.941741
20,Fbn2,13.668667,1.0879159569266142e-39,5.6723523
20,Kitl,13.641742,1.5329791639371733e-39,5.94744
20,Gm20721,13.622733,1.9381948978262293e-39,5.72242
20,Brd9,13.588399,3.0224626822491394e-39,5.466679
20,Nme7,13.569916,3.7950838998720304e-39,5.48328
20,Ina,13.559521,4.2689660918207715e-39,5.5053
20,Trim46,13.552562,4.5844993708006446e-39,5.5067306
20,Pcdh10,13.538039,5.460103544712775e-39,5.559359
20,Calm2,13.501259,8.80170337625517e-39,5.3740864
20,Rgs20,13.494962,9.37858188208066e-39,5.508798
20,Xrcc6,13.437167,2.0074053524560319e-38,5.426896
20,Ube3a,13.43113,2.1326029827242697e-38,5.4590917
